ID,Longitude,Latitude,ag30,F030,Tcs30,ag50,F050,Tcs50,ag72,F072,Tcs72,ag101,F0101,Tcs101,ag140,F0140,Tcs140,ag201,F0201,Tcs201,ag475,F0475,Tcs475,ag975,F0975,Tcs975,ag2475,F02475,Tcs2475
31012,16.35222,41.29906,0.036404,2.5171,0.26197,0.046546,2.5505,0.29318,0.05665,2.5166,0.32176,0.067301,2.5262,0.33226,0.078072,2.5327,0.34676,0.09388,2.5159,0.35868,0.14396,2.565,0.3597,0.2031,2.4993,0.3683,0.31719,2.3345,0.41431
31013,16.41869,41.29737,0.035003,2.502,0.2584,0.044317,2.5158,0.29416,0.05274,2.5509,0.32609,0.063651,2.5302,0.33349,0.074422,2.5302,0.34629,0.08816,2.5398,0.3565,0.13682,2.5566,0.36235,0.19298,2.5113,0.36695,0.3017,2.341,0.41182
31014,16.48525,41.29562,0.033405,2.48,0.25496,0.041639,2.5007,0.29441,0.04967,2.5464,0.32384,0.05827,2.572,0.3378,0.068894,2.5576,0.34646,0.080643,2.5866,0.35882,0.12511,2.5002,0.40517,0.17474,2.4827,0.40662,0.27079,2.379,0.41202
31015,16.55169,41.29386,0.031672,2.4531,0.25039,0.039107,2.5033,0.29137,0.04633,2.4848,0.32719,0.053493,2.5737,0.34255,0.061861,2.5972,0.35378,0.072697,2.621,0.36506,0.11003,2.5242,0.42195,0.14994,2.5534,0.42183,0.22613,2.4721,0.42673
31016,16.61822,41.29205,0.029911,2.4334,0.22576,0.037056,2.4761,0.28636,0.04299,2.4733,0.32868,0.049747,2.5239,0.34557,0.056272,2.617,0.35565,0.064697,2.5829,0.40324,0.096169,2.5212,0.44308,0.12714,2.6275,0.44278,0.18365,2.5916,0.44975
31182,12.89158,41.28333,0.02689,2.5354,0.21722,0.032161,2.5658,0.25978,0.03585,2.583,0.28312,0.039314,2.5958,0.30126,0.043176,2.6363,0.32112,0.047605,2.697,0.34357,0.058116,2.7961,0.41051,0.067874,2.9241,0.44376,0.080946,3.0981,0.56096
31183,12.95813,41.28366,0.027464,2.5452,0.21944,0.032714,2.5709,0.26382,0.03641,2.5843,0.28729,0.039865,2.6158,0.3026,0.043916,2.6446,0.3275,0.048436,2.7036,0.34992,0.059163,2.8052,0.41725,0.069406,2.9339,0.45026,0.083224,3.1016,0.56369
31184,13.02461,41.28396,0.027995,2.5504,0.22381,0.033255,2.5874,0.26875,0.03695,2.6031,0.29175,0.040525,2.6398,0.3102,0.044707,2.6721,0.33498,0.04934,2.7234,0.35573,0.060392,2.8129,0.42342,0.071182,2.8952,0.52404,0.085905,3.102,0.56608
31185,13.09116,41.28422,0.028607,2.5494,0.22826,0.033908,2.5866,0.27504,0.03764,2.6001,0.29768,0.041442,2.6433,0.32015,0.045753,2.6756,0.34339,0.050528,2.726,0.36319,0.062208,2.8064,0.43397,0.073497,2.898,0.52758,0.08936,3.0945,0.56713
31186,13.15772,41.28444,0.029255,2.554,0.23193,0.03461,2.5891,0.28068,0.03838,2.6053,0.30301,0.042493,2.6511,0.32846,0.046952,2.6864,0.34969,0.051893,2.7381,0.36819,0.064357,2.8084,0.44156,0.076205,2.9063,0.52841,0.093379,3.0851,0.56509
31187,13.22424,41.28462,0.030111,2.5498,0.23977,0.035571,2.5845,0.28484,0.03941,2.629,0.30554,0.043994,2.6523,0.33503,0.048605,2.688,0.35475,0.053713,2.742,0.37176,0.067092,2.8025,0.44594,0.079455,2.9082,0.52713,0.097982,3.0699,0.56109
31188,13.29073,41.28477,0.031105,2.538,0.24281,0.036702,2.5724,0.28879,0.04085,2.615,0.31218,0.045771,2.642,0.33926,0.050519,2.6831,0.3577,0.055781,2.7353,0.37393,0.070112,2.7909,0.44793,0.083425,2.8868,0.52538,0.10319,3.0423,0.55775
31189,13.35727,41.28487,0.0321,2.5316,0.25809,0.037832,2.5654,0.29202,0.04249,2.593,0.31833,0.047538,2.6344,0.34246,0.05241,2.6813,0.35986,0.057808,2.7318,0.3752,0.073082,2.7842,0.44713,0.087522,2.8597,0.52462,0.10883,3.0069,0.55692
31190,13.42382,41.28493,0.033116,2.5261,0.2611,0.038981,2.5594,0.29489,0.04415,2.5757,0.32333,0.049304,2.6258,0.34521,0.054284,2.6803,0.36205,0.059801,2.6829,0.4026,0.076017,2.7796,0.44726,0.091735,2.8379,0.52474,0.11466,2.9757,0.55622
31191,13.49037,41.28495,0.034158,2.5199,0.26428,0.040201,2.5501,0.29704,0.04581,2.5674,0.32699,0.051062,2.6252,0.34651,0.056134,2.6793,0.3634,0.062194,2.6671,0.40779,0.079042,2.7729,0.44824,0.096005,2.82,0.52523,0.12069,2.9495,0.55608
31192,13.55686,41.28495,0.035243,2.5143,0.26747,0.041819,2.5236,0.29982,0.04753,2.5605,0.32996,0.052881,2.6244,0.34653,0.058046,2.679,0.36448,0.064765,2.6503,0.41147,0.082729,2.7505,0.45022,0.10074,2.801,0.52522,0.12787,2.9119,0.55722
31193,13.62338,41.28489,0.036361,2.5102,0.2704,0.04347,2.5096,0.30538,0.04929,2.5586,0.33219,0.054745,2.6262,0.34685,0.060013,2.6835,0.36516,0.067464,2.6433,0.41286,0.086898,2.7261,0.45174,0.1064,2.7713,0.5264,0.13546,2.8736,0.54992
31194,13.68993,41.2848,0.037365,2.5087,0.2727,0.044959,2.5001,0.31038,0.05089,2.5612,0.33262,0.056457,2.6308,0.34825,0.062357,2.6666,0.36575,0.070036,2.6392,0.41349,0.090968,2.7063,0.45245,0.1119,2.7431,0.52504,0.14294,2.851,0.54669
31195,13.75645,41.28467,0.038384,2.5084,0.27503,0.046487,2.4949,0.31465,0.05255,2.5638,0.33254,0.058235,2.6353,0.34955,0.064853,2.654,0.36712,0.072802,2.6377,0.41247,0.095328,2.6902,0.45117,0.11779,2.7173,0.51983,0.15125,2.8253,0.54194
31196,13.82295,41.2845,0.039388,2.5081,0.27743,0.048011,2.4927,0.31612,0.05421,2.5667,0.33242,0.060037,2.6403,0.35062,0.067435,2.6455,0.36765,0.07574,2.636,0.41019,0.099842,2.6805,0.4489,0.12432,2.6929,0.51401,0.15995,2.8019,0.53792
31197,13.88953,41.28429,0.040509,2.5006,0.27983,0.049541,2.4908,0.31724,0.05589,2.5706,0.33237,0.06246,2.6207,0.3514,0.070121,2.6372,0.36791,0.078763,2.6344,0.40726,0.10529,2.6531,0.44639,0.13155,2.6676,0.50861,0.17,2.7678,0.53413
31198,13.95602,41.28404,0.04183,2.4865,0.28143,0.051083,2.4964,0.31794,0.05759,2.5753,0.33238,0.06498,2.6054,0.3516,0.072927,2.6299,0.36797,0.082423,2.6164,0.40484,0.11124,2.6276,0.44416,0.13957,2.6708,0.46825,0.18152,2.7342,0.53031
31199,14.02255,41.28375,0.043167,2.4769,0.28273,0.052662,2.5044,0.3175,0.05934,2.5854,0.33364,0.067655,2.5953,0.35176,0.075916,2.6306,0.36587,0.086829,2.5869,0.40385,0.11801,2.6056,0.44199,0.14968,2.6335,0.46394,0.19634,2.6937,0.52741
31200,14.08907,41.28342,0.044464,2.4703,0.28435,0.054217,2.5144,0.31664,0.06149,2.5826,0.33418,0.070406,2.5924,0.35097,0.079223,2.627,0.36335,0.091605,2.5619,0.40276,0.12622,2.5748,0.43923,0.16165,2.5986,0.45635,0.21531,2.6569,0.51699
31201,14.1556,41.28306,0.045977,2.4606,0.28564,0.056072,2.5202,0.31548,0.0646,2.5549,0.33356,0.074069,2.5751,0.34845,0.084173,2.5893,0.36213,0.097337,2.5366,0.40087,0.13629,2.542,0.43346,0.17686,2.5664,0.44873,0.24121,2.6247,0.4651
31202,14.22214,41.28265,0.04786,2.4522,0.28541,0.058614,2.5107,0.31386,0.06863,2.5151,0.33226,0.078538,2.5571,0.34541,0.090536,2.5417,0.3594,0.10522,2.5389,0.37412,0.15077,2.4909,0.42429,0.20327,2.4541,0.43955,0.29043,2.4286,0.4547
31203,14.28864,41.28221,0.050494,2.4411,0.28315,0.062714,2.4696,0.312,0.07398,2.4769,0.32963,0.08587,2.496,0.34065,0.099057,2.506,0.35302,0.11731,2.4727,0.36713,0.17317,2.3983,0.41187,0.23667,2.3761,0.42522,0.3413,2.3774,0.43829
31204,14.35517,41.28173,0.053524,2.4308,0.28078,0.068177,2.4191,0.31052,0.08042,2.4493,0.3245,0.095041,2.4337,0.33536,0.11147,2.429,0.34496,0.13345,2.4033,0.35621,0.19949,2.366,0.38166,0.27741,2.3091,0.40995,0.39216,2.4002,0.43108
31205,14.4217,41.28121,0.056632,2.421,0.28086,0.073728,2.3799,0.30947,0.08853,2.3882,0.3197,0.10473,2.392,0.32879,0.12433,2.3687,0.33818,0.14916,2.3593,0.34819,0.22772,2.3143,0.3725,0.31014,2.319,0.4026,0.4373,2.4416,0.42881
31206,14.48823,41.28065,0.059016,2.4238,0.28059,0.077909,2.3817,0.29751,0.09464,2.3571,0.3157,0.11303,2.3498,0.32457,0.13381,2.3434,0.33421,0.1609,2.337,0.34442,0.24688,2.2991,0.36898,0.33469,2.3386,0.3911,0.46931,2.4641,0.42965
31207,14.55473,41.28004,0.060403,2.4401,0.2803,0.080357,2.3947,0.29579,0.09841,2.3481,0.31354,0.11773,2.3431,0.32266,0.13958,2.3358,0.33252,0.1687,2.3214,0.34298,0.25812,2.2996,0.36871,0.35086,2.3381,0.39123,0.48875,2.4663,0.43184
31208,14.62123,41.27941,0.061577,2.4371,0.28019,0.082589,2.3793,0.29529,0.10064,2.3446,0.31311,0.1204,2.3387,0.32239,0.14312,2.3268,0.33243,0.1729,2.3154,0.34317,0.26434,2.3011,0.36997,0.36005,2.3336,0.3917,0.49897,2.4634,0.43347
31209,14.68777,41.27873,0.062001,2.434,0.28018,0.083531,2.3665,0.29547,0.10141,2.3412,0.31362,0.12133,2.3348,0.32309,0.14417,2.3248,0.33316,0.17408,2.3139,0.34379,0.2661,2.3022,0.37186,0.36374,2.3253,0.39158,0.5028,2.4577,0.43354
31210,14.75428,41.27801,0.061827,2.4276,0.28065,0.083343,2.3581,0.29632,0.10087,2.3441,0.31675,0.12063,2.3387,0.32651,0.14326,2.3298,0.33625,0.17287,2.3175,0.34598,0.26434,2.3028,0.37455,0.36309,2.3114,0.39102,0.50192,2.4482,0.43217
31211,14.82078,41.27726,0.061072,2.4183,0.28156,0.081798,2.3574,0.29801,0.09882,2.3529,0.32131,0.11837,2.3426,0.33022,0.14015,2.3402,0.3397,0.16907,2.3254,0.3491,0.25899,2.2984,0.37726,0.35523,2.2885,0.40779,0.49677,2.4185,0.43039
31212,14.88732,41.27646,0.059599,2.4035,0.28271,0.078546,2.3582,0.31191,0.09494,2.3653,0.32621,0.1134,2.358,0.33479,0.13462,2.3464,0.34481,0.16148,2.3401,0.35361,0.24714,2.304,0.38059,0.3397,2.2821,0.41479,0.4862,2.354,0.42838
31213,14.95382,41.27563,0.0572,2.4099,0.28458,0.07449,2.3803,0.31641,0.08931,2.3969,0.33313,0.10535,2.4153,0.34134,0.12532,2.3876,0.35269,0.15115,2.3543,0.36181,0.22709,2.3026,0.41425,0.31084,2.3344,0.42955,0.44559,2.4052,0.43859
31214,15.02033,41.27475,0.054697,2.4081,0.28639,0.070405,2.3994,0.32288,0.08363,2.4354,0.33767,0.099807,2.4111,0.34818,0.11732,2.4053,0.36037,0.13858,2.4416,0.36698,0.20541,2.4351,0.40933,0.28393,2.4294,0.428,0.42475,2.3847,0.4575
31215,15.08685,41.27384,0.052968,2.4029,0.28712,0.067572,2.4178,0.32595,0.08012,2.4514,0.33724,0.094836,2.4535,0.35007,0.10978,2.5068,0.35657,0.12891,2.5395,0.36513,0.19153,2.4724,0.41646,0.2677,2.4155,0.43383,0.39783,2.3757,0.45436
31216,15.15336,41.27288,0.051663,2.4014,0.28757,0.065572,2.4288,0.32841,0.07786,2.4585,0.33715,0.090743,2.5262,0.34652,0.10559,2.5336,0.35654,0.12423,2.5457,0.36645,0.18695,2.4288,0.42823,0.25543,2.4138,0.44216,0.37849,2.4115,0.45481
31217,15.21983,41.2719,0.050728,2.3965,0.28645,0.064224,2.4379,0.32778,0.07563,2.5186,0.33315,0.087789,2.559,0.34631,0.10356,2.5244,0.35731,0.12134,2.5453,0.3693,0.1819,2.4435,0.42945,0.24837,2.4593,0.43454,0.36903,2.4217,0.45013
